batch,timestamp,atlases,templates,top_n,subject,label,k,se,sn,j,volume
batch_1,2013-12-27.03-00-58-node17_04,9,3,0,04,2,0.9001878186,0.8764367816,0.9999618595,0.8184923152,3626
batch_1,2013-12-27.03-00-58-node17_04,9,5,0,04,1,0.8180247625,0.7949076665,0.9999252698,0.6920828258,3372
batch_1,2013-12-27.03-00-58-node17_04,9,5,0,04,2,0.9033907427,0.8769592476,0.9999652373,0.823803681,3604
batch_1,2013-12-27.03-00-58-node17_04,9,7,0,04,1,0.8079564969,0.7898712927,0.9999168257,0.6777911164,3414
batch_1,2013-12-27.03-00-58-node17_04,9,7,0,04,2,0.9061323292,0.8800940439,0.9999663632,0.8283747234,3608
batch_1,2013-12-27.03-00-58-node17_04,9,9,0,04,1,0.8018894933,0.7837157247,0.999914011,0.6692951016,3412
batch_1,2013-12-27.03-00-58-node17_04,9,9,0,04,2,0.9044928706,0.8782654127,0.9999656595,0.8256385069,3606
batch_1,2013-12-27.03-13-43-node04_20,1,11,0,20,1,0.8680121969,0.8911747168,0.9999234426,0.766803489,3533
batch_1,2013-12-27.03-13-43-node04_20,1,11,0,20,2,0.8814164559,0.8948640483,0.9999368124,0.7879755254,3411
batch_1,2013-12-27.03-13-43-node04_20,1,13,0,20,1,0.8676300578,0.8950506857,0.999920628,0.7662072486,3566
batch_1,2013-12-27.03-13-43-node04_20,1,13,0,20,2,0.8793924955,0.8921450151,0.9999362495,0.7847462131,3406
batch_1,2013-12-27.03-13-43-node04_20,1,15,0,20,1,0.867706528,0.8956469887,0.9999203466,0.7663265306,3570
batch_1,2013-12-27.03-13-43-node04_20,1,15,0,20,2,0.8785714286,0.8918429003,0.9999355459,0.7834394904,3410
batch_1,2013-12-27.03-13-43-node04_20,1,17,0,20,1,0.8685466377,0.8953488372,0.9999214724,0.7676380368,3561
batch_1,2013-12-27.03-13-43-node04_20,1,17,0,20,2,0.8792026183,0.8927492447,0.9999356866,0.7844438545,3412
batch_1,2013-12-27.03-13-43-node04_20,1,19,0,20,1,0.866955267,0.8956469887,0.9999195022,0.7651553744,3576
batch_1,2013-12-27.03-13-43-node04_20,1,19,0,20,2,0.8796668154,0.8933534743,0.9999358273,0.7851832183,3413
batch_1,2013-12-27.03-13-43-node04_20,1,1,0,20,1,0.8428265525,0.8801431127,0.9999016294,0.7283493708,3651
batch_1,2013-12-27.03-13-43-node04_20,1,1,0,20,2,0.844702036,0.8586102719,0.999918799,0.7311551325,3419
batch_1,2013-12-27.03-13-43-node04_20,1,3,0,20,1,0.8572683355,0.8729874776,0.999922739,0.7501921599,3477
batch_1,2013-12-27.03-13-43-node04_20,1,3,0,20,2,0.8599406528,0.8755287009,0.9999251319,0.7542946382,3430
batch_1,2013-12-27.03-13-43-node04_20,1,5,0,20,1,0.865221213,0.8804412642,0.9999269609,0.7624580429,3472
batch_1,2013-12-27.03-13-43-node04_20,1,5,0,20,2,0.8729689808,0.8927492447,0.9999289316,0.7745740498,3460
